项目名,部署时间,合约地址,logo 文件,,,,,,,,,,,,,,,,
Cellula,,"CELA合约地址: 0xC7DcECe84EC314F08014dA2036632afb7fb1e05C
energy合约地址: 0xebaeA4c7D2301c3a5d308e92cd0Ad2d1E62AAEA0
矿商质押合约: 0x9a32008Ce38670618779C746eb955bb83259e0Cc
Bitlife合约: 0x59D93fD30382561FE0806Cf03C3191c22F27FA29
Bitcell合约: 0xa3E290AD53cA16d89d6cACdC4A22bC3C15Bd00F8
escela转cela合约：0x89231609608679d048Df195689c8dd5e8Eb35b11",,,,,,,,,,,,,,,,,
Asteroid,,"{""name"": ""RewardAsteroidX"", ""hash"": ""0x53b18AD280947C58a9E4743e0Bfc7002EeD14257""},
{""name"": ""AsteroidXRedpacket"", ""hash"": ""0xf296683d6Ac8e3A0A407C136A75D2AFe30CAfBaa""},
{""name"": ""AsteroidX"", ""hash"": ""0xB7844BAf101995014a40600e40B5394A26401c6A""},
{""name"": ""LaunchPadAsteroidX"", ""hash"": ""0xcA3Bd9808507c5852F6ce2bD9A3757413463cdBE""}",,,,,,,,,,,,,,,,,
DODO,,"MultiSigAddress
0x562723560131C47417dfcD6BB1A089E4D7C7943C
DefaultMaintainer
0x562723560131C47417dfcD6BB1A089E4D7C7943C
FeeReceiver
0x1271CAba4bf23f8Fb31F97448605d65EE302CA51
DODOApprove
0x2629E610dB4AC081c108cCDf8b19ED39D702df43
DODOApproveProxy
0x6694eebf40924e04c952EA8F1626d19E7a656Bb7
DODOSellHelper
0xa672BeB656f3cEAF33222bc4805aac71142344FD
DODOCalleeHelper
0x94B66F3156353a12A6004d098A16F2fCfF9E8348
DODOV2RouteHelper
0x928e9762B5223d5A2ac1F5b13E8A61907aCaa9Bd
ERC20Helper
0x0c76F95a2952DC171B26b152f2b30cA8968e79D5
DODOV1PmmHelper
0x187210CE04F5B3179F0e483FCf292c34BA7568Dd
MulticallWithValid
0x388371233439cF57bB8C9f2e4835954841cfCb15
MultiCall
0xEf1F9B93c4F4E31260b316DC5740adcE54209479
DODOSwapCalcHelper
0x814473c0F2A32c57b98585157B78EA02A41f70Fb
DPPFactory
0x8Ebbfe204E7EdA4be46b9d09c5dfa8b3e1500462
DSPFactory
0x297A4885a7da4AaeF340FABEd119e7a6E3f2BCe8
CrowdPoolingFactory
0x5e8807fd1C80F7A43362CeBEFcB2Becedfc731Dc
ERC20V3Factory
0x3Cdf6B62D042179FAa21745b074a688BB4979FB7
DODOMineV2Factory
0xC7EaBEc77Be175432DC20c0056Cce4c2C78B84F3
DODOMineV3Registry
0xfcd8EF54A4dA96dE6B2DDF67C6265C7405a3A9c6
DVMFactory
0x2235bB894b7600F1a370fc595Ee5477999A30441
DODOV2Adapter
0xd0de7cA3298fff085E2cb82F8a861a0254256BA0
DODOFeeRouteProxy2
0x79A273d00bBF7B73B92d6938b973f0197b734Acc
DODOFeeRouteProxy1
0x7d6FF4f2bEdea9a757F1a5667b40Cb78c2be47Af
DODOCpProxy
0x7386F6F2375a38FBD1F4dA1d3eb39cd8dD8d1b40
DODODspProxy
0x38886EDE1Fc92886F9a11C37a1f5e75474858eaa
DODOMineV3Proxy
0xE59d098c36916397Cc14AB42Bb0F00093BDA9f04
DODODppProxy
0xcBF3378D432CB181aae32a6A80AA94CF8e00f534
DODOV2Proxy02
0x1dFd36964e21a2eb633991f0B95b4241c20e1db3",,,,,,,,,,,,,,,,,
InDex,,"factory deployed to: 0x09ee9eCc6E2B458508E05Da7f90E324AE54620D2
INIT_CODE_PAIR_HASH: 0xb4d4d093a282c5a30c7e0d37bec53ad1405404abac87cc046ceb2740307290e4
WHSK: 0xB210D2120d57b758EE163cFfb43e73728c471Cf1
router deployed to: 0x865E195B184fBf98c69752a280f2b3950AbD7756
multicall: 0x265dd248Ec6F16F79611076B01372cf7b3976578",,,,,,,,,,,,,,,,,
BountyBay,,"vault 合约
0x52BBA039148BA03cac62Ab77540B7dd167925116
激励 token
0x6485e0EF23bf930fa8F232715Ae4d915750cF3F8",,,,,,,,,,,,,,,,,
NovaBits,,"{
  ""v3CoreFactoryAddress"": ""0xaFc77d66222830327aB8B18bAf70e085C9B23017"",
  ""multicall2Address"": ""0xaEbAc56361Af2ab1b465830AF133b7f1D86349F1"",
  ""proxyAdminAddress"": ""0xc23637f164a75Cc11270e73354C51Fe523E9d86E"",
  ""tickLensAddress"": ""0xC886142109BC38A509B2D9090cf0d83AfE515bC1"",
  ""nftDescriptorLibraryAddressV1_3_0"": ""0xf1E06a8A109d83d79860De9b53EDAeb26F29Fb87"",
  ""nonfungibleTokenPositionDescriptorAddressV1_3_0"": ""0xb51BF7BDe8DA117a4e476b969563643B84653493"",
  ""descriptorProxyAddress"": ""0xa191D3C35f558E4586B9F638Ba417fF93E962D7a"",
  ""nonfungibleTokenPositionManagerAddress"": ""0xE2B9604D919323fDb9B7a1E1b368f4adda8101AA"",
  ""v3MigratorAddress"": ""0xFC259Eb737D29016bBB7De9769261D4BEf9461e8"",
  ""v3StakerAddress"": ""0xF337E468185b0AA4A1C2e3fEf52994eB96Ec631B"",
  ""quoterAddress"": ""0x48d144F897573Ce4B8A31Dd0C3e02A89A3EcA4c2"",
  ""quoterV2Address"": ""0x891a93698d083a5fd220D8Cbac6d6fb1E6ffc88f"",
  ""swapRouter02"": ""0x2163D632e3CbEEB1DfE1419C3F296AD46C56F08D"",
  ""swapRouter03"": ""0x7602Eb43F3E831584c96483bc9e2662732409a44""
}",,,,,,,,,,,,,,,,,
cybercharge,,"HSK 正式提现合约：0xbDAd1cBEf9a4fE03d61383E36D1accb0af2da7b4
HSK 正式充值合约：0x2426635E0E763703Aa068BDDB3e0841831cDeB21",,,,,,,,,,,,,,,,,
Tarta Game,,0xbd82e1a3f908AFb789f1F0b8f88b1FD0C2787A3D,,,,,,,,,,,,,,,,,
Particle Network,,"0xDeCb4780F435bb1194835E15CC964b1d9C8C79f2
0xBa6AB55F69BA50b4c0aD96795A40B98e9b5f405e
0x9406Cc6185a346906296840746125a0E44976454
0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789",,,,,,,,,,,,,,,,,
izumi Finance,,"hashkey
iZiSwap-core (2025-01-16)
swapX2YModule: '0x4d4673745AAC664eFB9758fdd571F40d78a87bfe',
swapY2XModule: '0x32D02Fc7722E81F6Ac60B87ea8B4b63a52Ad2b55',
liquidityModule: '0xF4efDB5A1E852f78e807fAE7100B1d38351e38c7',
limitOrderModule: '0xe96526e92ee57bBD468DA1721987aa988b008768',
flashModule: '0xbD6abA1Ef82A4cD6e15CB05e95f433ef48dfb5df',
factory: '0x110dE362cc436D7f54210f96b8C7652C2617887D',

[
  '0x0481B236F191877619523ee309c82B3574214597',
  '0x4d4673745AAC664eFB9758fdd571F40d78a87bfe',
  '0x32D02Fc7722E81F6Ac60B87ea8B4b63a52Ad2b55',
  '0xF4efDB5A1E852f78e807fAE7100B1d38351e38c7',
  '0xe96526e92ee57bBD468DA1721987aa988b008768',
  '0xbD6abA1Ef82A4cD6e15CB05e95f433ef48dfb5df',
  '50'
]
iZiSwap-periphery (2025-01-17)
wETH: '0xB210D2120d57b758EE163cFfb43e73728c471Cf1',
liquidityManager: '0x3EF68D3f7664b2805D4E88381b64868a56f88bC4',  // 2025-01-16
limitOrderManager: '0x33531bDBFE34fa6Fd5963D0423f7699775AacaaF',
limitorderwithswap: '0x34bc1b87f60e0a30c0e24FD7Abada70436c71406',
swap: '0x3F559139C2Fc7B97Ad6FE9B4d1f75149F551DB18',
quoter: '0x04830cfCED9772b8ACbAF76Cfc7A630Ad82c9148',
quoterWithLimit: '0x2C6Df0fDbCE9D2Ded2B52A117126F2Dc991f770f',

tap proxy: '0x14323AfbC2b82fE58F0D9c203830EE969B4d1bE2',

locker: '0x88867BF3bB3321d8c7Da71a8eAb70680037068E4',",,,,,,,,,,,,,,,,,
Dmail,,0x64812F1212f6276068A0726f4695a6637DA3E4F8,,,,,,,,,,,,,,,,,
NanoFish,,0xfa617c0030C4Bb69d7245c0bDc11A137b975e1aC,,,,,,,,,,,,,,,,,
Popcraft,,0xC44504Ab6a2C4dF9a9ce82aecFc453FeC3C8771C,,,,,,,,,,,,,,,,,
混元KYC,,"KYC_SBT_ADDRESS=0x0f362c05fb3Fadca687648F412abE2A6d6450D70
（ENS）ENS_REGISTRY_ADDRESS=0x77553310daA25CfDC295aDa26CCa7e2437e6146f
",,,,,,,,,,,,,,,,,
Mint Club,,"- MCV2_Token  0xAa70bC79fD1cB4a6FBA717018351F0C3c64B79Df
- MCV2_MultiToken 0x6c61918eECcC306D35247338FDcf025af0f6120A
- MCV2_Bond  0xc5a076cad94176c2996B32d8466Be1cE757FAa27
- MCV2_ZapV1  0x91523b39813F3F4E406ECe406D0bEAaA9dE251fa
- Locker    0xA3dCf3Ca587D9929d540868c924f208726DC9aB6
- MerkleDistributor 0x3bc6B601196752497a68B2625DB4f2205C3b150b
- BulkSender   0x1349A9DdEe26Fe16D0D44E35B3CB9B0CA18213a4",,,,,,,,,,,,,,,,,
Aon,,0x99D59B2f180c2523854d3F0789970c7afdCe41B2,,,,,,,,,,,,,,,,,
supra gas pool,,0x1241f44bfa102ab7386c784959bae3d0fb923734,,,,,,,,,,,,,,,,,
zypher,, 0xd767d7ddda8BE73C49B14444A8ce94db6A9b8a3D,,,,,,,,,,,,,,,,,
